Species	Num_assemblies	Kingdom	Phylum	Class	Order	Family	Genus
Salmonella enterica	368209	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
Escherichia coli	132621	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
Campylobacter jejuni	47033	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
Listeria monocytogenes	41960	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria
Campylobacter coli	19505	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
Staphylococcus aureus	15860	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus
Shigella sonnei	11119	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella
Enterococcus faecium	11061	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
Clostridioides difficile	10780	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Clostridioides
Klebsiella pneumoniae	9726	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella
Acinetobacter baumannii	9593	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter
Shigella flexneri	8208	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella
uncultured prokaryote	7538	NA	NA	NA	NA	NA	NA
Pseudomonas aeruginosa	6463	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Streptococcus pneumoniae	6013	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Vibrio parahaemolyticus	4108	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
Enterococcus faecalis	3987	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
Legionella pneumophila	3118	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
Clostridia bacterium	3096	Bacteria	Firmicutes	Clostridia	NA	NA	NA
Vibrio cholerae	3039	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
Neisseria meningitidis	2618	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
uncultured Pelagibacteraceae bacterium	2409	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	NA
Staphylococcus epidermidis	2181	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus
Staphylococcus pseudintermedius	2113	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus
Mycobacterium tuberculosis	2107	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycobacterium
Helicobacter pylori	2076	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter
Streptococcus suis	1964	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Bacteroidales bacterium	1917	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	NA	NA
Streptococcus pyogenes	1836	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
uncultured actinobacterium	1551	Bacteria	Actinobacteria	Actinomycetia	NA	NA	NA
uncultured bacterium	1549	Bacteria	NA	NA	NA	NA	NA
Pseudomonas viridiflava	1531	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Oscillospiraceae bacterium	1400	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	NA
Gammaproteobacteria bacterium	1378	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
Actinobacteria bacterium	1369	Bacteria	Actinobacteria	Actinomycetia	NA	NA	NA
Lachnospiraceae bacterium	1276	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	NA
Enterobacter hormaechei	1262	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter
Streptococcus agalactiae	1204	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
bacterium	1201	Bacteria	NA	NA	NA	NA	NA
uncultured Wolbachia sp.	1167	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia
uncultured Bacteroidetes bacterium	1140	Bacteria	Bacteroidetes	NA	NA	NA	NA
human gut metagenome	1097	NA	NA	NA	NA	NA	NA
uncultured beta proteobacterium	1023	Bacteria	Proteobacteria	Betaproteobacteria	NA	NA	NA
Alphaproteobacteria bacterium	990	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA
Mycobacteroides abscessus	927	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycobacteroides
Clostridium botulinum	898	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
uncultured Alphaproteobacteria bacterium	883	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA
Francisella tularensis	870	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella
Firmicutes bacterium	768	Bacteria	Firmicutes	NA	NA	NA	NA
Chloroflexi bacterium	766	Bacteria	Chloroflexi	NA	NA	NA	NA
Deltaproteobacteria bacterium	762	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA
Clostridiales bacterium	755	Bacteria	Firmicutes	Clostridia	Eubacteriales	NA	NA
Citrobacter freundii	716	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter
Bacteroidetes bacterium	712	Bacteria	Bacteroidetes	NA	NA	NA	NA
uncultured Collinsella sp.	704	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella
metagenome	704	NA	NA	NA	NA	NA	NA
uncultured Eubacteriales bacterium	702	Bacteria	Firmicutes	Clostridia	Eubacteriales	NA	NA
Proteobacteria bacterium	695	Bacteria	Proteobacteria	NA	NA	NA	NA
Serratia marcescens	692	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia
Vibrio vulnificus	672	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
Bacteroidaceae bacterium	665	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	NA
uncultured SAR86 cluster bacterium	659	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
uncultured proteobacterium	651	Bacteria	Proteobacteria	NA	NA	NA	NA
Stenotrophomonas maltophilia	633	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas
Neisseria gonorrhoeae	628	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
Haemophilus influenzae	609	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus
Burkholderia pseudomallei	585	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
Proteus mirabilis	581	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Proteus
marine metagenome	564	NA	NA	NA	NA	NA	NA
Shigella boydii	544	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella
freshwater metagenome	528	NA	NA	NA	NA	NA	NA
Prevotella sp.	524	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
Clostridium perfringens	513	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
Yersinia pestis	507	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
Cronobacter sakazakii	482	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter
Candidatus Omnitrophica bacterium	476	Bacteria	Candidatus Omnitrophica	NA	NA	NA	NA
Campylobacter upsaliensis	475	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
Bifidobacterium longum	472	Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
uncultured Opitutae bacterium	467	Bacteria	Verrucomicrobia	Opitutae	NA	NA	NA
uncultured Chlorobiaceae bacterium	465	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	NA
Euryarchaeota archaeon	464	Archaea	Euryarchaeota	NA	NA	NA	NA
Campylobacter lari	452	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
uncultured Bacteroidales bacterium	436	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	NA	NA
uncultured Burkholderiales bacterium	436	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	NA	NA
Patescibacteria group bacterium	429	Bacteria	NA	NA	NA	NA	NA
Acidobacteria bacterium	414	Bacteria	Acidobacteria	NA	NA	NA	NA
Acinetobacter pittii	407	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter
Planctomycetes bacterium	396	Bacteria	Planctomycetes	NA	NA	NA	NA
Candidatus Marinimicrobia bacterium	395	Bacteria	Candidatus Marinimicrobia	NA	NA	NA	NA
uncultured Oscillospiraceae bacterium	394	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	NA
Candidatus Saccharibacteria bacterium	388	Bacteria	Candidatus Saccharibacteria	NA	NA	NA	NA
Bacilli bacterium	388	Bacteria	Firmicutes	Bacilli	NA	NA	NA
Corynebacterium diphtheriae	388	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium
Mycoplasmopsis bovis	387	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasmopsis
Flavobacteriales bacterium	373	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NA	NA
Candidatus Woesearchaeota archaeon	372	Archaea	Candidatus Woesearchaeota	NA	NA	NA	NA
Klebsiella quasipneumoniae	365	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella
Betaproteobacteria bacterium	361	Bacteria	Proteobacteria	Betaproteobacteria	NA	NA	NA
uncultured Prochlorococcus sp.	355	Bacteria	Cyanobacteria	NA	Synechococcales	Prochlorococcaceae	Prochlorococcus
Xanthomonas perforans	354	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas
uncultured Lachnospiraceae bacterium	353	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	NA
Streptococcus mutans	352	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
uncultured Methylococcaceae bacterium	347	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	NA
Streptococcus equi	344	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Rhodobacteraceae bacterium	343	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA
Flavobacteriaceae bacterium	340	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NA
Burkholderia cenocepacia	335	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
uncultured Gammaproteobacteria bacterium	332	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
Xanthomonas citri	331	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas
Mycobacterium avium	330	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycobacterium
Klebsiella variicola	322	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella
Hyphomicrobiales bacterium	322	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	NA	NA
Listeria innocua	321	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria
Alistipes sp.	319	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
Ruminococcus sp.	319	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Ruminococcus
Treponema sp.	307	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema
Lactiplantibacillus plantarum	294	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus
Verrucomicrobia bacterium	292	Bacteria	Verrucomicrobia	NA	NA	NA	NA
Paludibacteraceae bacterium	292	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Paludibacteraceae	NA
uncultured Verrucomicrobia bacterium	291	Bacteria	Verrucomicrobia	NA	NA	NA	NA
uncultured phage	291	Viruses	NA	NA	NA	NA	NA
Leptospira interrogans	285	Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira
uncultured Clostridium sp.	282	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
Yersinia enterocolitica	276	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
Burkholderia ubonensis	274	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
Rhodospirillaceae bacterium	271	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	NA
uncultured Prevotella sp.	271	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
Pseudomonas syringae	269	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Enterobacter cloacae	268	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter
Bacteroides fragilis	267	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Candidatus Bathyarchaeota archaeon	261	Archaea	Candidatus Bathyarchaeota	NA	NA	NA	NA
Corynebacterium striatum	258	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium
Brucella melitensis	257	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella
Escherichia albertii	254	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
uncultured Chloroflexi bacterium	249	Bacteria	Chloroflexi	NA	NA	NA	NA
Staphylococcus haemolyticus	248	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus
Aspergillus fumigatus	241	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Burkholderiales bacterium	239	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	NA	NA
Gemmatimonadetes bacterium	234	Bacteria	Gemmatimonadetes	NA	NA	NA	NA
Rhodococcus hoagii	226	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Nocardiaceae	Rhodococcus
Oenococcus oeni	225	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Oenococcus
Clostridiaceae bacterium	224	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	NA
sediment metagenome	221	NA	NA	NA	NA	NA	NA
Bacillus cereus	220	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
Yersinia pseudotuberculosis	218	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
Dehalococcoidia bacterium	216	Bacteria	Chloroflexi	Dehalococcoidia	NA	NA	NA
Bacillus subtilis	212	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
uncultured Ruminococcus sp.	212	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Ruminococcus
Klebsiella michiganensis	211	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella
Klebsiella aerogenes	209	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella
uncultured Candidatus Actinomarina sp.	209	Bacteria	Actinobacteria	Actinomycetia	Candidatus Actinomarinales	Candidatus Actinomarinaceae	Candidatus Actinomarina
Turicibacter sanguinis	207	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Turicibacteraceae	Turicibacter
Burkholderia multivorans	203	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
Anaerolineae bacterium	200	Bacteria	Chloroflexi	Anaerolineae	NA	NA	NA
Klebsiella oxytoca	199	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella
Cutibacterium acnes	198	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Cutibacterium
uncultured delta proteobacterium	198	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA
Nitrospirae bacterium	197	Bacteria	Nitrospirae	NA	NA	NA	NA
Erysipelotrichaceae bacterium	195	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	NA
Kiritimatiellae bacterium	194	Bacteria	Kiritimatiellaeota	Kiritimatiellae	NA	NA	NA
Campylobacter fetus	194	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
Muribaculaceae bacterium	193	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	NA
Planctomycetaceae bacterium	192	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	NA
Bifidobacterium pseudocatenulatum	191	Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Bacillus thuringiensis	191	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
Candidatus Moranbacteria bacterium	191	Bacteria	Candidatus Moranbacteria	NA	NA	NA	NA
uncultured Bacteroidia bacterium	190	Bacteria	Bacteroidetes	Bacteroidia	NA	NA	NA
Listeria welshimeri	188	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria
Saprospiraceae bacterium	186	Bacteria	Bacteroidetes	Saprospiria	Saprospirales	Saprospiraceae	NA
uncultured SAR116 cluster alpha proteobacterium	184	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA
Brucella abortus	183	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella
Phocaeicola vulgatus	181	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola
Burkholderia cepacia	179	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
Chitinophagaceae bacterium	177	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	NA
Campylobacter concisus	177	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
uncultured Flavobacteriales bacterium	175	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NA	NA
Bacteroides thetaiotaomicron	173	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Flavobacterium psychrophilum	172	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
Shigella dysenteriae	172	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella
uncultured Methylophilaceae bacterium	172	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Methylophilaceae	NA
Eubacterium sp.	171	Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	Eubacterium
Ruegeria conchae	169	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Ruegeria
Burkholderia gladioli	166	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
Spirochaetales bacterium	166	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	NA	NA
Sinorhizobium meliloti	165	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Sinorhizobium
Myxococcales bacterium	162	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	NA	NA
uncultured Holophagaceae bacterium	161	Bacteria	Acidobacteria	Holophagae	Holophagales	Holophagaceae	NA
Listeria seeligeri	160	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria
Moraxella catarrhalis	159	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Moraxella
Bifidobacterium adolescentis	158	Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
uncultured Erysipelotrichaceae bacterium	157	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	NA
uncultured Bacteroides sp.	157	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Burkholderiaceae bacterium	153	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	NA
Rhizobium leguminosarum	152	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Rhizobium
Morganella morganii	151	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Morganella
Syntrophomonadaceae bacterium	150	Bacteria	Firmicutes	Clostridia	Eubacteriales	Syntrophomonadaceae	NA
Fusarium oxysporum	149	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
uncultured Rhizobiales bacterium	147	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	NA	NA
Anaerolineales bacterium	144	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	NA	NA
uncultured Prevotellaceae bacterium	144	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	NA
Planctomycetia bacterium	144	Bacteria	Planctomycetes	Planctomycetia	NA	NA	NA
Pediococcus acidilactici	143	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus
archaeon	143	Archaea	NA	NA	NA	NA	NA
Rhodospirillales bacterium	142	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	NA	NA
Lacticaseibacillus rhamnosus	142	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus
Homo sapiens	142	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo
uncultured Verrucomicrobia subdivision 3 bacterium	142	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobia subdivision 3	NA
Bacteroides uniformis	141	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Streptococcus mitis	139	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Lacticaseibacillus paracasei	139	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus
Bacillus velezensis	137	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
Vibrio fluvialis	137	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
Acidimicrobiia bacterium	136	Bacteria	Actinobacteria	Acidimicrobiia	NA	NA	NA
Elizabethkingia anophelis	136	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Elizabethkingia
Synergistaceae bacterium	134	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	NA
Providencia rettgeri	133	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Providencia
Citrobacter koseri	131	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter
Phycisphaerae bacterium	131	Bacteria	Planctomycetes	Phycisphaerae	NA	NA	NA
Prevotella copri	130	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
gut metagenome	128	NA	NA	NA	NA	NA	NA
Rhodococcus fascians	128	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Nocardiaceae	Rhodococcus
uncultured Planctomycetaceae bacterium	126	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	NA
uncultured Rhodospirillales bacterium	126	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	NA	NA
Pasteurella multocida	126	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Pasteurella
Enterobacter asburiae	125	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter
Bacteroidia bacterium	125	Bacteria	Bacteroidetes	Bacteroidia	NA	NA	NA
soil metagenome	125	NA	NA	NA	NA	NA	NA
Bacillus anthracis	125	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
Enterococcus hirae	124	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
Lactococcus lactis	123	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus
Nanoarchaeota archaeon	123	Archaea	Nanoarchaeota	NA	NA	NA	NA
uncultured Acidimicrobiaceae bacterium	122	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	NA
Lentisphaeria bacterium	122	Bacteria	Lentisphaerae	Lentisphaeria	NA	NA	NA
Bacteroides sp.	122	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Vibrio alginolyticus	120	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
Bacteroides xylanisolvens	120	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Verrucomicrobiales bacterium	119	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	NA	NA
Candidatus Aenigmarchaeota archaeon	119	Archaea	Candidatus Aenigmarchaeota	NA	NA	NA	NA
Faecalibacterium prausnitzii	118	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Faecalibacterium
Staphylococcus argenteus	118	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus
Acinetobacter nosocomialis	117	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter
Pseudomonas putida	117	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Salinibacter ruber	117	Bacteria	Bacteroidetes	NA	Bacteroidetes Order II. Incertae sedis	Rhodothermaceae	Salinibacter
Spirochaetaceae bacterium	116	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	NA
Sulfitobacter pseudonitzschiae	116	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Sulfitobacter
Candidatus Lokiarchaeota archaeon	116	Archaea	Candidatus Lokiarchaeota	NA	NA	NA	NA
